Location,Sub-location,Pokemon,D,P,Pt,Method,Levels,Morning Rate,Day Rate,Night Rate
Twinleaf Town,N/A,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Twinleaf Town,N/A,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Twinleaf Town,N/A,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Twinleaf Town,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Twinleaf Town,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Twinleaf Town,N/A,goldeen,True,True,False,Fishing Good Rod,10-25,45%,45%,45%
Twinleaf Town,N/A,goldeen,False,False,True,Fishing Good Rod,15-35,45%,45%,45%
Twinleaf Town,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Twinleaf Town,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Twinleaf Town,N/A,seaking,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Twinleaf Town,N/A,seaking,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Celestic Town,N/A,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Celestic Town,N/A,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Celestic Town,N/A,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Celestic Town,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Celestic Town,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Celestic Town,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Celestic Town,N/A,barboach,True,True,False,Fishing Good Rod,10-25,45%,45%,45%
Celestic Town,N/A,goldeen,False,False,True,Fishing Good Rod,15-35,45%,45%,45%
Celestic Town,N/A,seaking,False,False,True,Fishing Super Rod,40-55,5%,5%,5%
Celestic Town,N/A,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Celestic Town,N/A,gyarados,False,False,True,Fishing Super Rod,30-55,40%,40%,40%
Celestic Town,N/A,whiscash,True,True,False,Fishing Super Rod,40-55,15%,15%,15%
Celestic Town,N/A,corphish,True,True,True,Fishing Super Rod,30-40,40%,40%,40%
Celestic Town,N/A,crawdaunt,True,True,False,Fishing Super Rod,35-55,5%,5%,5%
Celestic Town,N/A,crawdaunt,False,False,True,Fishing Super Rod,40-55,15%,15%,15%
Canalave City,N/A,tentacool,True,True,True,Surfing,20-30,60%,60%,60%
Canalave City,N/A,tentacruel,True,True,False,Surfing,20-40,5%,5%,5%
Canalave City,N/A,tentacruel,False,False,True,Surfing,20-40,9%,9%,9%
Canalave City,N/A,wingull,True,True,False,Surfing,20-30,30%,30%,30%
Canalave City,N/A,pelipper,True,True,False,Surfing,20-40,5%,5%,5%
Canalave City,N/A,shellos_west sea,False,False,True,Surfing,20-30,30%,30%,30%
Canalave City,N/A,gastrodon_west sea,False,False,True,Surfing,20-40,1%,1%,1%
Canalave City,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Canalave City,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Canalave City,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Canalave City,N/A,finneon,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Canalave City,N/A,staryu,True,True,False,Fishing Super Rod,20-40,15%,15%,15%
Canalave City,N/A,staryu,False,False,True,Fishing Super Rod,20-50,15%,15%,15%
Canalave City,N/A,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Canalave City,N/A,gyarados,False,False,True,Fishing Super Rod,30-55,40%,40%,40%
Canalave City,N/A,lumineon,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Canalave City,N/A,lumineon,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Oreburgh City,N/A,abra,True,True,True,Trade Machop,The same as the traded Pokémon,One,One,One
Eterna City,N/A,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Eterna City,N/A,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Eterna City,N/A,golduck,True,True,True,Surfing,20-40,10%,10%,10%
