Location,Sub-location,Pokemon,G,S,C,Method,Levels,Morning Rate,Day Rate,Night Rate
New Bark Town,N/A,tentacool,True,True,True,Surfing,15-24,90%,90%,90%
New Bark Town,N/A,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
New Bark Town,N/A,tentacool,True,True,True,Fishing Old Rod,10,15%,15%,15%
New Bark Town,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
New Bark Town,N/A,tentacool,True,True,True,Fishing Good Rod,20,35%,35%,35%
New Bark Town,N/A,shellder,True,True,True,Fishing Good Rod,20,10%,10%,10%
New Bark Town,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
New Bark Town,N/A,chinchou,True,True,True,Fishing Good Rod,20,20%,20%,20%
New Bark Town,N/A,tentacruel,True,True,True,Fishing Super Rod,40,20%,20%,20%
New Bark Town,N/A,shellder,True,True,True,Fishing Super Rod,40,30%,30%,30%
New Bark Town,N/A,chinchou,True,True,True,Fishing Super Rod,40,40%,40%,40%
New Bark Town,N/A,lanturn,True,True,True,Fishing Super Rod,40,10%,10%,10%
New Bark Town,N/A,chikorita,True,True,True,Starter Pokémon,5,One,One,One
New Bark Town,N/A,cyndaquil,True,True,True,Starter Pokémon,5,One,One,One
New Bark Town,N/A,totodile,True,True,True,Starter Pokémon,5,One,One,One
Route 29,N/A,pidgey,True,True,False,Grass,2-4,55%,55%,0%
Route 29,N/A,pidgey,False,False,True,Grass,2-3,50%,50%,0%
Route 29,N/A,rattata,True,True,False,Grass,4,5%,5%,0%
Route 29,N/A,rattata,True,True,False,Grass,2-4,0%,0%,15%
Route 29,N/A,rattata,False,False,True,Grass,2,5%,5%,0%
Route 29,N/A,rattata,False,False,True,Grass,2-3,0%,0%,45%
Route 29,N/A,sentret,True,True,True,Grass,2-3,40%,40%,0%
Route 29,N/A,hoothoot,True,True,False,Grass,2-4,0%,0%,85%
Route 29,N/A,hoothoot,False,False,True,Grass,2-3,0%,0%,55%
Route 29,N/A,hoppip,False,False,True,Grass,3,5%,5%,0%
Route 29,N/A,spearow,True,True,False,Headbutt,10,80%,80%,80%
Route 29,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 29,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 29,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 29,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 29,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 29,N/A,spearow,True,True,False,Headbutt,10,50%,50%,50%
Route 29,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 29,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 29,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 29,N/A,pineco,False,False,True,Headbutt,10,30%,30%,30%
Route 29,N/A,heracross,True,True,False,Headbutt,10,30%,30%,30%
Cherrygrove City,N/A,tentacool,True,True,True,Surfing,20-24,60%,60%,60%
Cherrygrove City,N/A,tentacool,True,True,True,Surfing,15-19,30%,30%,30%
Cherrygrove City,N/A,tentacruel,True,True,True,Surfing,20-40,10%,10%,10%
Cherrygrove City,N/A,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Cherrygrove City,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Cherrygrove City,N/A,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Cherrygrove City,N/A,staryu,True,True,True,Fishing Good Rod,20,0%,0%,10%
Cherrygrove City,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Cherrygrove City,N/A,corsola,True,True,True,Fishing Good Rod,20,10%,10%,0%
Cherrygrove City,N/A,krabby,True,True,True,Fishing Super Rod,40,60%,60%,60%
Cherrygrove City,N/A,kingler,True,True,True,Fishing Super Rod,40,10%,10%,10%
Cherrygrove City,N/A,staryu,True,True,True,Fishing Super Rod,40,0%,0%,30%
Cherrygrove City,N/A,corsola,True,True,True,Fishing Super Rod,40,30%,30%,0%
Route 30,N/A,caterpie,True,False,False,Grass,3-4,50%,35%,0%
Route 30,N/A,caterpie,False,False,True,Grass,3-4,50%,50%,0%
Route 30,N/A,metapod,True,False,False,Grass,4,10%,0%,0%
Route 30,N/A,metapod,True,False,False,Grass,4-5,0%,15%,0%
