Location,Pokemon,FR,LG,Method,Levels,Rate
Pallet Town,tentacool,True,True,Surfing,5-40,100%
Pallet Town,magikarp,True,True,Fishing Old Rod,5-10,100%
Pallet Town,krabby,True,False,Fishing Good Rod,5-15,20%
Pallet Town,krabby,False,True,Fishing Good Rod,5-15,60%
Pallet Town,horsea,True,False,Fishing Good Rod,5-15,60%
Pallet Town,horsea,False,True,Fishing Good Rod,5-15,20%
Pallet Town,magikarp,True,True,Fishing Good Rod,5-15,20%
Pallet Town,psyduck,True,False,Fishing Super Rod,25-35,1%
Pallet Town,slowpoke,False,True,Fishing Super Rod,25-35,1%
Pallet Town,shellder,True,False,Fishing Super Rod,15-25,40%
Pallet Town,krabby,False,True,Fishing Super Rod,15-25,40%
Pallet Town,kingler,False,True,Fishing Super Rod,25-35,4%
Pallet Town,horsea,True,False,Fishing Super Rod,15-25,40%
Pallet Town,seadra,True,False,Fishing Super Rod,25-35,4%
Pallet Town,staryu,False,True,Fishing Super Rod,15-25,40%
Pallet Town,gyarados,True,True,Fishing Super Rod,15-25,15%
Viridian City,psyduck,True,False,Surfing,20-40,100%
Viridian City,slowpoke,False,True,Surfing,20-40,100%
Viridian City,magikarp,True,True,Fishing Old Rod,5,100%
Viridian City,poliwag,True,True,Fishing Good Rod,5-15,60%
Viridian City,goldeen,True,True,Fishing Good Rod,5-15,20%
Viridian City,magikarp,True,True,Fishing Good Rod,5-15,20%
Viridian City,psyduck,True,False,Fishing Super Rod,15-35,5%
Viridian City,poliwag,True,True,Fishing Super Rod,15-25,40%
Viridian City,poliwhirl,True,True,Fishing Super Rod,20-30,40%
Viridian City,slowpoke,False,True,Fishing Super Rod,15-35,5%
Viridian City,gyarados,True,True,Fishing Super Rod,15-25,15%
Cerulean City,tentacool,True,True,Surfing,5-40,100%
Cerulean City,magikarp,True,True,Fishing Old Rod,5,100%
Cerulean City,krabby,True,False,Fishing Good Rod,5-15,20%
Cerulean City,krabby,False,True,Fishing Good Rod,5-15,60%
Cerulean City,horsea,True,False,Fishing Good Rod,5-15,60%
Cerulean City,horsea,False,True,Fishing Good Rod,5-15,20%
Cerulean City,magikarp,True,True,Fishing Good Rod,5-15,20%
Cerulean City,psyduck,True,False,Fishing Super Rod,25-35,1%
Cerulean City,slowpoke,False,True,Fishing Super Rod,25-35,1%
Cerulean City,krabby,False,True,Fishing Super Rod,15-35,84%
Cerulean City,horsea,True,False,Fishing Super Rod,15-35,84%
Cerulean City,gyarados,True,True,Fishing Super Rod,15-25,15%
Cerulean City,jynx,True,True,Trade Poliwhirl,The same as the Traded Pokémon,One
Vermilion City,farfetchd,True,True,Trade Spearow,The same as the Traded Pokémon,One
Vermilion City,tentacool,True,True,Surfing,5-40,100%
Vermilion City,magikarp,True,True,Fishing Old Rod,5,100%
Vermilion City,krabby,True,False,Fishing Good Rod,5-15,20%
Vermilion City,krabby,False,True,Fishing Good Rod,5-15,60%
Vermilion City,horsea,True,False,Fishing Good Rod,5-15,60%
Vermilion City,horsea,False,True,Fishing Good Rod,5-15,20%
Vermilion City,magikarp,True,True,Fishing Good Rod,5-15,20%
Vermilion City,psyduck,True,False,Fishing Super Rod,25-35,1%
Vermilion City,slowpoke,False,True,Fishing Super Rod,25-35,1%
Vermilion City,shellder,True,False,Fishing Super Rod,15-25,40%
Vermilion City,krabby,False,True,Fishing Super Rod,15-25,40%
Vermilion City,horsea,True,False,Fishing Super Rod,15-35,44%
Vermilion City,horsea,False,True,Fishing Super Rod,25-35,4%
Vermilion City,staryu,False,True,Fishing Super Rod,15-25,40%
Vermilion City,gyarados,True,True,Fishing Super Rod,15-25,15%
Celadon City,psyduck,True,False,Surfing,5-40,99%
Celadon City,slowpoke,False,True,Surfing,5-40,99%
Celadon City,koffing,True,True,Surfing,30-40,1%
Celadon City,magikarp,True,True,Fishing Old Rod,5,100%
Celadon City,magikarp,True,True,Fishing Good Rod,5-15,100%
Celadon City,magikarp,True,True,Fishing Super Rod,15-35,99%
Celadon City,grimer,True,True,Fishing Super Rod,30-40,1%
Fuchsia City,psyduck,True,False,Surfing,20-40,100%
Fuchsia City,slowpoke,False,True,Surfing,20-40,100%
Fuchsia City,magikarp,True,True,Fishing Old Rod,5,100%
Fuchsia City,poliwag,True,True,Fishing Good Rod,5-15,60%
Fuchsia City,goldeen,True,True,Fishing Good Rod,5-15,20%
Fuchsia City,magikarp,True,True,Fishing Good Rod,5-15,20%
Fuchsia City,goldeen,True,True,Fishing Super Rod,15-25,40%
Fuchsia City,seaking,True,True,Fishing Super Rod,20-30,40%
Fuchsia City,gyarados,True,True,Fishing Super Rod,15-25,15%
Fuchsia City,psyduck,True,False,Fishing Super Rod,15-35,5%
Fuchsia City,slowpoke,False,True,Fishing Super Rod,15-35,5%
Cinnabar Island,tentacool,True,True,Surfing,5-40,100%
Cinnabar Island,magikarp,True,True,Fishing Old Rod,5,100%
Cinnabar Island,horsea,True,False,Fishing Good Rod,5-15,60%
Cinnabar Island,horsea,False,True,Fishing Good Rod,5-15,20%
Cinnabar Island,krabby,True,False,Fishing Good Rod,5-15,20%
Cinnabar Island,krabby,False,True,Fishing Good Rod,5-15,60%
Cinnabar Island,magikarp,True,True,Fishing Good Rod,5-15,20%
Cinnabar Island,shellder,True,False,Fishing Super Rod,15-25,40%
Cinnabar Island,horsea,True,False,Fishing Super Rod,15-25,40%
Cinnabar Island,krabby,False,True,Fishing Super Rod,15-25,40%
Cinnabar Island,staryu,False,True,Fishing Super Rod,15-25,40%
Cinnabar Island,gyarados,True,True,Fishing Super Rod,15-25,15%
