Version Group Code,Location
RBY,Unused Fly location
RBY,Red
RBY,Blue
RBY,Professor Oak's Lab
RBY,Pokémon Center
RBY,Poké Mart
RBY,Pokémon Gym
RBY,Gate
RBY,Oak's Aide
RBY,Pewter Museum
RBY,Nidoran♂
RBY,Poliwhirl
RBY,Jynx
RBY,Bulbasaur
RBY,Pokémon Yellow
RBY,alternative music
RBY,Daycare Center
RBY,Underground Path
RBY,Sea Cottage
RBY,Pokémon Fan Club
RBY,Pidgey
RBY,S.S. Anne
RBY,Gentleman
RBY,Sailor
RBY,Fisherman
RBY,Victory Road
RBY,Pokémon League
RBY,Lance
RBY,Elite Four
RBY,Hall of Fame
RBY,Celadon Department Store
RBY,Eevee
RBY,Rocket Game Corner
RBY,Team Rocket
RBY,Pokémon Tower
RBY,Mr. Fuji
RBY,Cubone
RBY,Bill
RBY,Warden
RBY,Fishing Brother
RBY,Pokémon Lab
RBY,Copycat
RBY,Fighting Dojo
RBY,Silph Co.
RBY,Cycling Road
RBY,Badges
RBY,Team Rocket Hideout
RBY,Cerulean Cave
RBY,Name Rater
RBY,Cable Club Trade Center
RBY,Cable Club Colosseum
RBY,Lorelei
RBY,Bruno
RBY,Agatha
RBY,Summer Beach House
